id,code,name,difficulty_rating,total_submissions,successful_submissions,distinct_successful_submissions,partially_successful_submissions,intended_contest_id,actual_intended_contests,contest_code
37968,PASSTHEEXAM,Pass the Exam,424,59788,44535,40782,0,16923,"17488,17489,17490,17491",JULY221
36969,MANIPULATE,Ezio and Guards,427,92834,75222,66203,0,14290,"14291,14292,14293,14294",APRIL221
41205,CANDYSTORE,Candy Store,429,29598,25369,23986,0,21892,"22260,22261,22262,22263",START78
39859,SCALENE,Scalene Triangle,430,39947,34891,30607,0,21432,"21439,21440,21441,21442",START69
35936,CMASKS,Chef and Masks,432,54044,40853,36801,0,16177,"16173,16174,16175,16176",COOK141
38998,SPECIALITY,Speciality,434,46254,37378,33741,0,19307,"20055,20056,20057,20058",START59
38171,MAXIMUMSUBS,Maximum Submissions,435,55722,48460,43548,0,17586,"18713,18714,18715,18716",AUG221
37052,EXPIRY,Expiring Bread,440,49828,40198,37064,0,14479,"14475,14476,14477,14478",START34
38326,AIANALYSE,AI Analysing Code,445,52842,40388,36379,0,17581,"18727,18728,18729,18730",START52
38157,TVDISC,TV Discount,447,54210,43620,39298,0,17580,"18704,18705,18706,18707",START51
38489,BROKENPHONE,Broken Phone,451,56889,47177,42915,0,18947,"19200,19202,19203,19204",START55
id,code,name,difficulty_rating,total_submissions,successful_submissions,distinct_successful_submissions,partially_successful_submissions,intended_contest_id,actual_intended_contests,contest_code
35541,TYRE,Tyre problem,452,53997,46576,42823,0,14015,"14016,14017,14018,14019",START29
10887,FLOW006,Sum of Digits,455,400006,253883,212544,0,-1,[-1],
40080,PERFECTTRIO,Perfect Trio,455,39418,33469,30168,0,21434,"21447,21448,21449,21450",START71
36887,BUDGET_,Monthly Budget,456,46254,39100,35931,0,14287,"14283,14284,14285,14286",START33
35542,INSTNOODLE,Chef and Instant Noodles,456,59967,49751,44899,0,14003,"14004,14005,14006,14007",START28
35889,CREDSCORE,Credit score,459,87782,66866,58149,0,14040,"14041,14042,14043,14044",LTIME106
10885,FLOW004,First and Last Digit,461,310795,208260,178156,0,-1,[-1],
450,INTEST,Enormous Input Test,464,520352,356762,280877,0,0,[0],
37583,PRACTICEPERF,Practice makes us perfect,467,147337,107851,90033,0,16189,"16818,16819,16820,16821",MAY222
36718,COURSEREG,Course Registration,470,85843,67596,58576,2,14045,"14046,14047,14048,14049",START32
38053,INSURANCE,Insurance,475,57601,50001,45046,0,16924,"17659,17660,17661,17662",JULY222
41101,AIRLINES,Codechef Airlines,475,30288,26353,24629,0,21891,"22184,22185,22186,22187",START77
35919,INCRIQ,Increase IQ,478,93226,64317,56671,0,14020,"14021,14022,14023,14024",MARCH222
35536,BATTERYLOW,Battery Low,479,96010,69991,61384,0,13744,"13745,13746,13747,13867",LTIME105
37261,BOBBANK,Bob at the Bank,481,55835,49816,45617,0,18951,"19205,19206,19207,19208",SEP221
39697,MONOPOLY,Monopoly in Chefland,482,47310,38408,34081,0,20348,"21398,21399,21400,21401",START66
37471,MANGOES,The Mango Truck,482,39533,33841,31104,0,16179,"16712,16713,16714,16715",START37
36709,WATERFLOW,Bucket and Water Flow ,483,47803,38064,34739,0,16193,"16798,16799,16800,16801",LTIME108
37542,F1RULE,Miami GP,487,74815,59382,53007,0,16188,"16756,16757,16758,16759",MAY221
37571,DOMINANT,Dominant Army,488,41145,34547,31915,0,16180,"16760,16761,16762,16763",START38
37736,SONGS,Playlist,489,35270,31123,28660,0,16195,"17003,17004,17005,17006",COOK142
35898,CHEFCHOCO,Chef and Chocolates,492,42361,35486,32818,0,14025,"14026,14027,14028,14029",START30
41029,NETFLIX,Netflix,493,45818,35436,32412,0,17584,"22146,22147,22148,22149",COOK144
35935,CGYM,Chef and Gym,496,47319,28973,26430,0,16177,"16173,16174,16175,16176",COOK141
37268,CHEAPFOOD,Best Coupon,496,47457,38696,35845,0,15979,"15980,15981,15982,15983",APRIL222
38376,AVGPROBLEM,Greater Average,500,57888,43064,38891,0,17582,"19129,19130,19131,19132",START53
37776,SUBSCRIBE_,Subscriptions,504,49423,38369,35432,0,16190,"17366,17367,17368,17369",JUNE221
39186,ODDSUMPAIR,Odd Sum Pair,506,54532,46055,39968,0,19309,"20286,20287,20288,20289",START61
36996,WATERCOOLER1,The Cooler Dilemma 1,506,45688,39226,36039,0,14290,"14291,14292,14293,14294",APRIL221
35641,JASSIGNMENTS,Janmansh and Assignments,513,50845,39676,35517,0,14030,"14031,14032,14033,14034",COOK139
35466,SHOPCHANGE,Shopping Change,526,55880,47224,42536,0,13740,"13741,13742,13743,13865",START27
35640,JCOINS,Janmansh and Coins,527,39197,34984,32377,0,14030,"14031,14032,14033,14034",COOK139
38046,OFFICE,Chef in his Office,532,47029,43609,40177,0,16924,"17659,17660,17661,17662",JULY222
11667,AMR15A,Mahasena,533,198251,117817,103112,0,-1,[-1],
35937,CREDCOINS,CRED Coins,539,38296,32593,30206,0,14040,"14041,14042,14043,14044",LTIME106
38164,SALESEASON,Sale Season,541,60440,41171,37942,0,17586,"18713,18714,18715,18716",AUG221
39002,MINPIZZA,Minimum Pizzas,546,49340,38052,34579,0,19312,"20076,20077,20078,20079",OCT221
40945,RACE400M,400M Race,548,52341,29815,27640,0,21890,"22050,22051,22052,22053",START76
38569,CHEFGAMES,Chefland Games,550,51335,40427,36387,0,18948,"19211,19212,19213,19214",START56
36707,TESTAVG,Test Averages,558,45588,33842,30604,0,17585,"18746,18747,18748,18749",LTIME111
38997,EXPERT,Expert Setter,561,60042,35425,31142,0,19308,"20255,20256,20257,20258",START60
35202,HELIUM3,Chef and NextGen,562,62588,50146,45783,0,13620,"13621,13622,13623",FEB222
